School Year,County,District,School Name,BEDS Code,Grade Organization,Need/Resource Category,School Type,Enrollment,Homicide With Weapon(s),Homicide Without Weapon(s),Forcible Sex Offenses With Weapon(s),Forcible Sex Offenses Without Weapon(s),Other Sex Offenses With Weapon(s),Other Sex Offenses Without Weapon(s),Robbery With Weapon(s),Robbery Without Weapon(s),Assault With Serious Physical Injury With Weapon(s),Assault With Serious Physical Injury Without Weapon(s),Arson With Weapon(s),Kidnapping With Weapon(s),Kidnapping Without Weapon(s),Assault with Physical Injury With Weapon(s),Assault with Physical Injury Without Weapon(s),Reckless Endangerment With Weapon(s),Reckless Endangerment Without Weapon(s),Minor Altercations With Weapon(s),Minor Altercations Without Weapon(s),"Intimidation, Harassment, Menacing, or Bullying With Weapon(s)","Intimidation, Harassment, Menacing, or Bullying Without Weapon(s)",Burglary With Weapon(s),Burglary Without Weapon(s),Criminal Mischief With Weapon(s),Criminal Mischief Without Weapon(s),"Larceny, or Other Theft With Weapon(s)","Larceny, or Other Theft Without Weapon(s)",Bomb Threat,False Alarm,Riot With Weapon(s),Riot Without Weapon(s),Weapon PossessionThrough Screening,Weapon Possession Under Other Circumstances,Drug Possession,Alcohol Possession,Other Disruptive
2014-2015,Bronx,New York City Geographic District # 7,Academy Of Applied Mathematics And Technology,320700010343,Middle,New York City,Public,305,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,8,0,7,0,0,0,2,0,1,0,0,0,0,0,8,0,0,23
2014-2015,Bronx,New York City Geographic District # 7,Academy Of Public Relations,320700010298,Middle,New York City,Public,353,0,0,0,0,0,3,0,0,1,0,0,0,0,0,2,1,3,1,48,3,20,0,0,0,6,0,0,0,0,0,0,0,1,0,0,74
2014-2015,Bronx,New York City Geographic District # 7,Alfred E Smith Career And Technical High School,320700011600,Senior High,New York City,Public,378,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,2,1,1,13,0,17,0,0,0,1,0,0,1,0,0,0,3,0,3,0,34
2014-2015,Bronx,New York City Geographic District # 7,Bronx Design And Construction Academy,320700011522,Senior High,New York City,Public,564,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,7,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,2
2014-2015,Bronx,New York City Geographic District # 7,Bronx Haven High School,320700011381,Senior High,New York City,Public,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-2015,Bronx,New York City Geographic District # 7,Bronx Leadership Academy Ii High School,320700011527,Senior High,New York City,Public,507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,22,0,4,0,0,0,0,0,1,1,0,0,0,0,7,1,0,7
2014-2015,Bronx,New York City Geographic District # 7,Community School For Social Justice,320700011427,Senior High,New York City,Public,319,0,0,0,0,0,0,0,0,0,1,0,0,0,2,8,0,0,2,17,3,10,0,0,0,2,0,2,0,0,0,0,2,5,1,0,13
2014-2015,Bronx,New York City Geographic District # 7,Concourse Village Elementary School,320700010359,Elementary,New York City,Public,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-2015,Bronx,New York City Geographic District # 7,Crotona Academy High School,320700011321,Senior High,New York City,Public,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-2015,Bronx,New York City Geographic District # 7,Foreign Language Academy Of Global Studies,320700011520,Senior High,New York City,Public,147,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,10,0,6,0,0,0,0,0,0,0,0,0,0,1,0,1,0,16
2014-2015,Bronx,New York City Geographic District # 7,Health Opportunities High School,320700011670,Senior High,New York City,Public,554,0,0,0,0,0,4,0,0,0,0,0,0,0,1,3,0,0,1,11,0,13,0,0,0,2,0,4,0,0,0,0,1,7,8,0,28
2014-2015,Bronx,New York City Geographic District # 7,"Hero (health, Education And Research Occupations) High School",320700011259,Senior High,New York City,Public,233,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21,0,5,0,0,0,0,0,2,0,0,0,0,0,0,1,4,18
2014-2015,Bronx,New York City Geographic District # 7,Hostos-lincoln Academy Of Science,320700011500,Junior-Senior High,New York City,Public,549,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,6,0,1,0,0,0,0,0,1,0,0,0,0,0,5,1,0,2
2014-2015,Bronx,New York City Geographic District # 7,International Community High School,320700011334,Senior High,New York City,Public,439,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,1,19,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,1,12
2014-2015,Bronx,New York City Geographic District # 7,Jhs 151 Lou Gehrig,320700010151,Middle,New York City,Public,253,0,0,0,0,0,2,0,0,0,1,0,0,0,1,11,0,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
2014-2015,Bronx,New York City Geographic District # 7,Jhs 162 Lola Rodriguez De Tio,320700010162,Middle,New York City,Public,368,0,0,0,0,0,13,0,1,0,2,1,0,0,2,11,0,3,1,24,8,18,0,0,0,1,0,2,0,0,0,0,0,8,0,0,14
2014-2015,Bronx,New York City Geographic District # 7,Jill Chaifetz Transfer High School,320700011379,Senior High,New York City,Public,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0
2014-2015,Bronx,New York City Geographic District # 7,Mott Haven Community High School,320700011557,Senior High,New York City,Public,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
2014-2015,Bronx,New York City Geographic District # 7,Mott Haven Village Prep High School,320700011473,Senior High,New York City,Public,364,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,2,0,0,31,0,11,0,0,1,1,0,2,0,0,0,0,0,5,3,0,18
2014-2015,Bronx,New York City Geographic District # 7,Ms 223 Laboratory School Of Finance And Technology (the),320700010223,Junior High,New York City,Public,502,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,14,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8
2014-2015,Bronx,New York City Geographic District # 7,New Explorers High School,320700011547,Senior High,New York City,Public,482,0,0,0,0,0,2,0,0,0,0,0,0,0,1,6,0,1,1,14,0,2,0,0,0,0,0,1,0,0,0,0,0,6,1,0,13
2014-2015,Bronx,New York City Geographic District # 7,Performance School,320700010385,Elementary,New York City,Public,145,0,0,0,0,1,3,0,0,0,0,0,0,0,0,5,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-2015,Bronx,New York City Geographic District # 7,Ps 1 Courtlandt School,320700010001,Elementary,New York City,Public,704,0,0,0,0,0,4,0,0,0,0,0,0,0,1,5,0,2,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
2014-2015,Bronx,New York City Geographic District # 7,Ps 154 Jonathan D Hyatt,320700010154,Elementary,New York City,Public,405,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-2015,Bronx,New York City Geographic District # 7,Ps 157 Grove Hill,320700010157,Elementary,New York City,Public,634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-2015,Bronx,New York City Geographic District # 7,Ps 161 Ponce De Leon,320700010161,Elementary,New York City,Public,520,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1,3,0,29,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,5
2014-2015,Bronx,New York City Geographic District # 7,Ps 179,320700010179,Elementary,New York City,Public,388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2014-2015,Bronx,New York City Geographic District # 7,Ps 18 John Peter Zenger,320700010018,Elementary,New York City,Public,573,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0
2014-2015,Bronx,New York City Geographic District # 7,Ps 25 Bilingual School,320700010025,Elementary,New York City,Public,493,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2014-2015,Bronx,New York City Geographic District # 7,Ps 277 ,320700010277,Elementary,New York City,Public,464,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,7,3,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2
2014-2015,Bronx,New York City Geographic District # 7,Ps 30 Wilton,320700010030,Elementary,New York City,Public,618,0,0,0,0,0,2,0,0,0,0,0,0,0,1,4,1,2,2,9,1,1,0,0,0,1,0,1,0,0,0,0,0,2,0,0,2
2014-2015,Bronx,New York City Geographic District # 7,Ps 43 Jonas Bronck,320700010043,Elementary,New York City,Public,530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,5,1,2,0,0,0,1,0,1,0,0,0,0,0,2,0,0,4
2014-2015,Bronx,New York City Geographic District # 7,Ps 49 Willis Avenue,320700010049,Elementary,New York City,Public,709,0,0,0,0,0,1,0,0,0,0,0,0,0,1,8,0,3,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
2014-2015,Bronx,New York City Geographic District # 7,Ps 5 Port Morris,320700010005,Elementary,New York City,Public,801,0,0,0,0,0,7,0,0,0,0,1,0,0,1,14,0,2,0,16,0,4,0,0,0,2,0,1,0,0,0,0,0,4,1,0,1
2014-2015,Bronx,New York City Geographic District # 7,Ps 65 Mother Hale Academy,320700010065,Elementary,New York City,Public,417,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,0,6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2014-2015,Bronx,New York City Geographic District # 7,Ps/is 224,320700010224,Middle,New York City,Public,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,2,19,1,1,0,0,0,1,0,0,0,0,0,0,0,6,0,0,14
2014-2015,Bronx,New York City Geographic District # 7,Ps/ms 29 Melrose School,320700010029,Elementary,New York City,Public,755,0,0,0,0,0,2,0,0,0,0,0,0,0,1,8,0,2,5,53,5,10,0,0,0,0,0,0,0,0,0,0,0,3,0,1,35
2014-2015,Bronx,New York City Geographic District # 7,Ps/ms 31 William Lloyd Garrison (the),320700010031,Elementary,New York City,Public,725,0,0,0,0,0,3,0,0,0,0,0,0,0,3,24,2,10,13,20,3,4,0,0,1,3,0,0,0,0,0,0,0,3,0,0,13
2014-2015,Bronx,New York City Geographic District # 7,South Bronx Academy For Applied Media,320700010296,Middle,New York City,Public,346,0,0,0,0,0,2,0,0,0,0,1,0,0,1,6,1,0,0,10,0,3,0,0,0,0,0,2,0,0,0,0,0,5,2,0,8
2014-2015,Bronx,New York City Geographic District # 7,South Bronx Preparatory - A College Board School,320700011221,Junior-Senior High,New York City,Public,657,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2
2014-2015,Bronx,New York City Geographic District # 7,University Heights Secondary School-bronx Community College,320700011495,Senior High,New York City,Public,488,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,15
2014-2015,Bronx,New York City Geographic District # 7,Urban Assembly Bronx Academy Of Letters (the),320700011551,Junior-Senior High,New York City,Public,594,0,0,0,0,0,4,0,0,0,2,0,0,0,1,4,1,0,1,32,0,13,0,0,0,5,0,3,0,1,0,0,0,3,1,0,14
2014-2015,Bronx,New York City Geographic District # 9,Is 339,320900010339,Middle,New York City,Public,550,0,0,0,0,0,2,0,0,0,2,1,0,0,3,7,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,2
2014-2015,Bronx,New York City Geographic District # 7,Urban Assembly School For Careers In Sports,320700011548,Senior High,New York City,Public,580,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,4,2,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1
2014-2015,Bronx,New York City Geographic District # 7,Young Leaders Elementary School,320700010369,Elementary,New York City,Public,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2014-2015,Bronx,New York City Geographic District # 8,Academy Of The Arts (the),320800010335,Elementary,New York City,Public,286,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,1,0,3,1,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4
2014-2015,Bronx,New York City Geographic District # 8,Antonia Pantoja Preparatory Academy,320800011376,Junior-Senior High,New York City,Public,444,0,0,0,0,0,4,0,1,0,0,0,0,0,2,1,0,2,0,18,0,2,0,0,0,1,0,5,0,0,0,0,2,2,0,0,8
2014-2015,Bronx,New York City Geographic District # 8,"Archimedes Academy For Math, Science And Technology Applications",320800011367,Junior-Senior High,New York City,Public,612,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,2,1,18,3,7,0,0,0,7,0,1,0,0,0,0,0,4,1,3,28
2014-2015,Bronx,New York City Geographic District # 8,Banana Kelly High School,320800011530,Senior High,New York City,Public,317,0,0,0,0,0,0,0,0,0,0,4,0,0,1,3,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1
2014-2015,Bronx,New York City Geographic District # 8,Blueprint Middle School,320800010562,Junior High,New York City,Public,306,0,0,0,0,0,3,0,0,0,0,0,0,0,1,2,0,0,0,6,1,2,0,0,0,2,0,1,0,0,0,0,0,3,0,0,2
2014-2015,Bronx,New York City Geographic District # 8,Bronx Arena High School,320800011537,Senior High,New York City,Public,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,1,0,0,0,0,0,1,0,0,0,0,2,2,2,0,3
2014-2015,Bronx,New York City Geographic District # 8,Bronx Bridges High School,320800011432,Senior High,New York City,Public,328,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
2014-2015,Bronx,New York City Geographic District # 8,Bronx Community High School,320800011377,Senior High,New York City,Public,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,3,0,0,0,0,0,0,0,0,0,0,3,0,1,0,3
2014-2015,Bronx,New York City Geographic District # 8,Bronx Compass High School,320800011561,Senior High,New York City,Public,332,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0
2014-2015,Bronx,New York City Geographic District # 8,Bronx Delta School,320800010392,,New York City,Public,72,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-2015,Bronx,New York City Geographic District # 8,Bronx Guild High School,320800011452,Senior High,New York City,Public,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,1
