School year,County,District,School Name,BEDS Code,Grade Organization,Need/Resource Category,School Type,Enrollment,Homicide With Weapon(s),Homicide Without Weapon(s),Forcible Sex Offenses With Weapon(s),Forcible Sex Offenses Without Weapon(s),Other Sex Offenses With Weapon(s),Other Sex Offenses Without Weapon(s),Robbery With Weapon(s),Robbery Without Weapon(s),Assault With Serious Physical Injury With Weapon(s),Assault With Serious Physical Injury Without Weapon(s),Arson With Weapon(s),Kidnapping With Weapon(s),Kidnapping Without Weapon(s),Assault with Physical Injury With Weapon(s),Assault with Physical Injury Without Weapon(s),Reckless Endangerment With Weapon(s),Reckless Endangerment Without Weapon(s),Minor Altercations With Weapon(s),Minor Altercations Without Weapon(s),"Intimidation, Harassment, Menacing, or Bullying With Weapon(s)","Intimidation, Harassment, Menacing, or Bullying Without Weapon(s)",Burglary With Weapon(s),Burglary Without Weapon(s),Criminal Mischief With Weapon(s),Criminal Mischief Without Weapon(s),"Larceny, or Other Theft With Weapon(s)","Larceny, or Other Theft Without Weapon(s)",Bomb Threat,False Alarm,Riot With Weapon(s),Riot Without Weapon(s),Weapon PossessionThrough Screening,Weapon Possession Under Other Circumstances,Drug Possession,Alcohol Possession,Other Disruptive
2010-2011,BRONX,New York City Geographic District # 7,Academy Of Applied Mathematics And Technology,320700010343,Middle School,New York City,Public,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,12,0,4,0,0,0,0,0,1,0,0,0,0,0,1,0,1,17
2010-2011,BRONX,New York City Geographic District # 7,Academy Of Public Relations,320700010298,Middle School,New York City,Public,247,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,1,8,0,0,0,5,0,0,1,0,0,0,1,1,2,1,14
2010-2011,BRONX,New York City Geographic District # 7,Alfred E Smith Career And Technical High School,320700011600,Senior High,New York City,Public,955,0,0,0,0,0,2,0,3,0,2,1,0,0,1,9,0,1,1,28,0,4,0,0,0,3,0,1,0,0,0,0,23,5,8,0,13
2010-2011,BRONX,New York City Geographic District # 7,Bronx Haven High School,320700011381,Senior High,New York City,Public,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2010-2011,BRONX,New York City Geographic District # 7,Bronx Leadership Academy Ii High School,320700011527,Senior High,New York City,Public,482,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,2,0,20,0,13,0,0,0,0,0,5,0,0,0,0,0,5,1,1,16
2010-2011,BRONX,New York City Geographic District # 7,Community School For Social Justice,320700011427,Senior High,New York City,Public,333,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,0,3,28,0,12,0,0,0,3,0,0,0,0,0,0,0,1,0,1,11
2010-2011,BRONX,New York City Geographic District # 7,Crotona Academy High School,320700011321,Senior High,New York City,Public,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-2011,BRONX,New York City Geographic District # 7,Foreign Language Academy Of Global Studies,320700011520,Senior High,New York City,Public,394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,2,1,1,0,3
2010-2011,BRONX,New York City Geographic District # 7,Health Opportunities High School,320700011670,Senior High,New York City,Public,608,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,26,1,18,0,0,0,3,0,2,0,0,0,0,0,3,1,2,42
2010-2011,BRONX,New York City Geographic District # 7,Hostos-Lincoln Academy Of Science,320700011500,Junior Senior School,New York City,Public,601,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0
