School Year,County,District,School Name,BEDS Code,Grade Organization,Need/Resource Category,School Type,Enrollment,Homicide With Weapon(s),Homicide Without Weapon(s),Forcible Sex Offenses With Weapon(s),Forcible Sex Offenses Without Weapon(s),Other Sex Offenses With Weapon(s),Other Sex Offenses Without Weapon(s),Robbery With Weapon(s),Robbery Without Weapon(s),Assault With Serious Physical Injury With Weapon(s),Assault With Serious Physical Injury Without Weapon(s),Arson With Weapon(s),Kidnapping With Weapon(s),Kidnapping Without Weapon(s),Assault with Physical Injury With Weapon(s),Assault with Physical Injury Without Weapon(s),Reckless Endangerment With Weapon(s),Reckless Endangerment Without Weapon(s),Minor Altercations With Weapon(s),Minor Altercations Without Weapon(s),"Intimidation, Harassment, Menacing, or Bullying With Weapon(s)","Intimidation, Harassment, Menacing, or Bullying Without Weapon(s)",Burglary With Weapon(s),Burglary Without Weapon(s),Criminal Mischief With Weapon(s),Criminal Mischief Without Weapon(s),"Larceny, or Other Theft With Weapon(s)","Larceny, or Other Theft Without Weapon(s)",Bomb Threat,False Alarm,Riot With Weapon(s),Riot Without Weapon(s),Weapon Possession Through Screening,Weapon Possession Under Other Circumstances,Drug Possession,Alcohol Possession,Other Disruptive
2012-2013,Bronx,New York City Geographic District # 7,Academy Of Applied Mathematics And Technology,320700010343,Middle,New York City,Public,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,10,0,0,0,1,0,3,0,0,0,0,0,0,0,0,13
2012-2013,Bronx,New York City Geographic District # 7,Academy Of Public Relations,320700010298,Middle,New York City,Public,316,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,6,4,39,2,17,0,0,0,2,0,0,0,0,0,0,0,2,2,1,46
2012-2013,Bronx,New York City Geographic District # 7,Alfred E Smith Career And Technical High School,320700011600,Senior High,New York City,Public,499,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,2,9,0,4,0,0,0,0,0,1,0,0,0,0,8,1,4,0,4
2012-2013,Bronx,New York City Geographic District # 7,Bronx Design And Construction Academy,320700011522,,New York City,Public,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
2012-2013,Bronx,New York City Geographic District # 7,Bronx Haven High School,320700011381,Senior High,New York City,Public,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-2013,Bronx,New York City Geographic District # 7,Bronx Leadership Academy Ii High School,320700011527,Senior High,New York City,Public,496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,16,0,7,0,0,0,0,0,3,0,0,0,0,0,1,4,1,5
2012-2013,Bronx,New York City Geographic District # 7,Community School For Social Justice,320700011427,Senior High,New York City,Public,314,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,2,0,27,0,7,0,0,0,2,0,3,0,1,0,0,2,4,0,0,16
2012-2013,Bronx,New York City Geographic District # 7,Crotona Academy High School,320700011321,Senior High,New York City,Public,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-2013,Bronx,New York City Geographic District # 7,Foreign Language Academy Of Global Studies,320700011520,Senior High,New York City,Public,239,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2012-2013,Bronx,New York City Geographic District # 7,Health Opportunities High School,320700011670,Senior High,New York City,Public,558,0,0,0,0,0,3,0,0,0,0,2,0,0,0,3,0,4,1,31,0,19,0,0,0,4,0,0,0,4,0,0,0,3,2,0,32
